,lkbd_lknc_mult,hks_mult,vks_mult,OBSERVATION NAME,SIMULATED EQUIVALENT,OBSERVED VALUE,resid
62,1000,10,10,HO_23,17.29150009,5.365499973,11.9
63,1000,10,10,HO_36,5.350533009,4.741499901,0.6
64,1000,10,10,HO_37,15.58968544,12.46930027,3.1
65,1000,10,100,HO_13,12.466115,15.50819969,-3.0
66,1000,10,100,HO_17,-17.67436028,6.116600037,-23.8
67,1000,10,100,HO_23,17.21356392,5.365499973,11.8
68,1000,10,100,HO_36,5.488690376,4.741499901,0.7
69,1000,10,100,HO_37,15.58079529,12.46930027,3.1
70,1000,10,1000,HO_13,,15.50819969,
71,1000,10,1000,HO_17,,6.116600037,
72,1000,10,1000,HO_23,,5.365499973,
73,1000,10,1000,HO_36,,4.741499901,
74,1000,10,1000,HO_37,,12.46930027,
75,1000,100,1,HO_13,13.7434864,15.50819969,-1.8
76,1000,100,1,HO_17,-17.72702408,6.116600037,-23.8
77,1000,100,1,HO_23,17.7566433,5.365499973,12.4
78,1000,100,1,HO_36,5.112179279,4.741499901,0.4
79,1000,100,1,HO_37,15.64155769,12.46930027,3.2
80,1000,100,2,HO_13,13.74372959,15.50819969,-1.8
81,1000,100,2,HO_17,-17.71784019,6.116600037,-23.8
82,1000,100,2,HO_23,17.54768562,5.365499973,12.2
83,1000,100,2,HO_36,5.169547081,4.741499901,0.4
84,1000,100,2,HO_37,15.6109848,12.46930027,3.1
85,1000,100,10,HO_13,13.13251972,15.50819969,-2.4
86,1000,100,10,HO_17,-17.69622421,6.116600037,-23.8
87,1000,100,10,HO_23,17.29150009,5.365499973,11.9
88,1000,100,10,HO_36,5.350533009,4.741499901,0.6
89,1000,100,10,HO_37,15.58968544,12.46930027,3.1
90,1000,100,100,HO_13,12.466115,15.50819969,-3.0
91,1000,100,100,HO_17,-17.67436028,6.116600037,-23.8
92,1000,100,100,HO_23,17.21356392,5.365499973,11.8
93,1000,100,100,HO_36,5.488690376,4.741499901,0.7
94,1000,100,100,HO_37,15.58079529,12.46930027,3.1
95,1000,100,1000,HO_13,,15.50819969,
96,1000,100,1000,HO_17,,6.116600037,
97,1000,100,1000,HO_23,,5.365499973,
98,1000,100,1000,HO_36,,4.741499901,
99,1000,100,1000,HO_37,,12.46930027,
100,1000,1000,1,HO_13,13.7434864,15.50819969,-1.8
101,1000,1000,1,HO_17,-17.72702408,6.116600037,-23.8
102,1000,1000,1,HO_23,17.7566433,5.365499973,12.4
103,1000,1000,1,HO_36,5.112179279,4.741499901,0.4
104,1000,1000,1,HO_37,15.64155769,12.46930027,3.2
105,1000,1000,2,HO_13,13.74372959,15.50819969,-1.8
106,1000,1000,2,HO_17,-17.71784019,6.116600037,-23.8
107,1000,1000,2,HO_23,17.54768562,5.365499973,12.2
108,1000,1000,2,HO_36,5.169547081,4.741499901,0.4
109,1000,1000,2,HO_37,15.6109848,12.46930027,3.1
110,1000,1000,10,HO_13,13.13251972,15.50819969,-2.4
111,1000,1000,10,HO_17,-17.69622421,6.116600037,-23.8
112,1000,1000,10,HO_23,17.29150009,5.365499973,11.9
113,1000,1000,10,HO_36,5.350533009,4.741499901,0.6
114,1000,1000,10,HO_37,15.58968544,12.46930027,3.1
115,1000,1000,100,HO_13,12.466115,15.50819969,-3.0
116,1000,1000,100,HO_17,-17.67436028,6.116600037,-23.8
117,1000,1000,100,HO_23,17.21356392,5.365499973,11.8
118,1000,1000,100,HO_36,5.488690376,4.741499901,0.7
119,1000,1000,100,HO_37,15.58079529,12.46930027,3.1
120,1000,1000,1000,HO_13,,15.50819969,
121,1000,1000,1000,HO_17,,6.116600037,
122,1000,1000,1000,HO_23,,5.365499973,
123,1000,1000,1000,HO_36,,4.741499901,
124,1000,1000,1000,HO_37,,12.46930027,
